index,province_zh,province_en,city_zh,city_short_zh,admin_type_zh,division_code,city_en,wiki_title_zh,wiki_title_en,lat,lon,slug,catalog_id,source_station_wmo,source_station_file,source_station_name,source_station_lat,source_station_lon,station_match_quality
25,内蒙古自治区,Inner Mongolia,乌海市,乌海,地级市,150300,Wuhai,乌海市,Wuhai,39.655,106.7942,wuhai,prefecture-wuhai,534630,CHN_NM_Hohhot-Baita.Intl.AP.534630_TMYx.2011-2025.zip,Hohhot,40.8559,111.5714,city_alias_fallback
26,内蒙古自治区,Inner Mongolia,赤峰市,赤峰,地级市,150400,Chifeng,赤峰市,Chifeng,42.2579,118.887,chifeng,prefecture-chifeng,542180,CHN_NM_Chifeng.542180_TMYx.2011-2025.zip,Chifeng,42.308,118.8325,direct
27,内蒙古自治区,Inner Mongolia,通辽市,通辽,地级市,150500,Tongliao,通辽市,Tongliao,43.6527,122.2436,tongliao,prefecture-tongliao,541350,CHN_NM_Tongliao.541350_TMYx.2011-2025.zip,Tongliao,43.5954,122.2603,direct
28,内蒙古自治区,Inner Mongolia,鄂尔多斯市,鄂尔多斯,地级市,150600,Ordos City,鄂尔多斯市,Ordos City,39.6082,109.7814,ordos-city,prefecture-ordos-city,534630,CHN_NM_Hohhot-Baita.Intl.AP.534630_TMYx.2011-2025.zip,Hohhot,40.8559,111.5714,city_alias_fallback
29,内蒙古自治区,Inner Mongolia,呼伦贝尔市,呼伦贝尔,地级市,150700,Hulunbuir,呼伦贝尔市,Hulunbuir,49.2118,119.7657,hulunbuir,prefecture-hulunbuir,534630,CHN_NM_Hohhot-Baita.Intl.AP.534630_TMYx.2011-2025.zip,Hohhot,40.8559,111.5714,city_alias_fallback
30,内蒙古自治区,Inner Mongolia,巴彦淖尔市,巴彦淖尔,地级市,150800,Bayannur,巴彦淖尔市,Bayannur,40.7433,107.3876,bayannur,prefecture-bayannur,534630,CHN_NM_Hohhot-Baita.Intl.AP.534630_TMYx.2011-2025.zip,Hohhot,40.8559,111.5714,city_alias_fallback
31,内蒙古自治区,Inner Mongolia,乌兰察布市,乌兰察布,地级市,150900,Ulanqab,乌兰察布市,Ulanqab,40.995,113.132,ulanqab,prefecture-ulanqab,534630,CHN_NM_Hohhot-Baita.Intl.AP.534630_TMYx.2011-2025.zip,Hohhot,40.8559,111.5714,city_alias_fallback
32,内蒙古自治区,Inner Mongolia,兴安盟,兴安,盟,152200,Hinggan League,兴安盟,Hinggan League,46.0824,122.0375,hinggan-league,prefecture-hinggan-league,534630,CHN_NM_Hohhot-Baita.Intl.AP.534630_TMYx.2011-2025.zip,Hohhot,40.8559,111.5714,province_capital_fallback
33,内蒙古自治区,Inner Mongolia,锡林郭勒盟,锡林郭勒,盟,152500,Xilingol League,锡林郭勒盟,Xilingol League,43.9335,116.0477,xilingol-league,prefecture-xilingol-league,534630,CHN_NM_Hohhot-Baita.Intl.AP.534630_TMYx.2011-2025.zip,Hohhot,40.8559,111.5714,province_capital_fallback
34,内蒙古自治区,Inner Mongolia,阿拉善盟,阿拉善,盟,152900,Alxa League,阿拉善盟,Alxa League,38.852,105.728,alxa-league,prefecture-alxa-league,536020,CHN_NM_Alxa.536020_TMYx.zip,Alxa,38.8649,105.731,direct
35,辽宁省,Liaoning,沈阳市,沈阳,地级市,210100,Shenyang,沈阳市,Shenyang,41.79555556,123.44805556,shenyang,prefecture-shenyang,543420,CHN_LN_Shenyang.543420_TMYx.2011-2025.zip,沈阳,41.7325,123.5099,direct
36,辽宁省,Liaoning,大连市,大连,地级市,210200,Dalian,大连市,Dalian,38.92083333,121.63916667,dalian,prefecture-dalian,546620,CHN_LN_Dalian-Zhoushuizi.Intl.AP.546620_TMYx.2011-2025.zip,大连,38.908,121.66,direct
37,辽宁省,Liaoning,鞍山市,鞍山,地级市,210300,Anshan,鞍山市,Anshan,41.1083,122.9933,anshan,prefecture-anshan,543390,CHN_LN_Anshan.543390_TMYx.zip,Anshan,41.133,122.983,direct
38,辽宁省,Liaoning,抚顺市,抚顺,地级市,210400,Fushun,抚顺市,Fushun,41.8806,123.957,fushun,prefecture-fushun,543420,CHN_LN_Shenyang.543420_TMYx.2011-2025.zip,沈阳,41.7325,123.5099,city_alias_fallback
39,辽宁省,Liaoning,本溪市,本溪,地级市,210500,Benxi,本溪市,Benxi,41.2942,123.7655,benxi,prefecture-benxi,543460,CHN_LN_Benxi.543460_CSWD.zip,Benxi,41.3067,123.7753,direct
40,辽宁省,Liaoning,丹东市,丹东,地级市,210600,Dandong,丹东市,Dandong,40.0005,124.3539,dandong,prefecture-dandong,544970,CHN_LN_Dandong.544970_TMYx.2011-2025.zip,Dandong,40.0317,124.3275,direct
41,辽宁省,Liaoning,锦州市,锦州,地级市,210700,Jinzhou,锦州市,Jinzhou,41.0957,121.1264,jinzhou,prefecture-jinzhou,543370,CHN_LN_Jinzhou.543370_TMYx.2011-2025.zip,Jinzhou,41.1402,121.1224,direct
42,辽宁省,Liaoning,营口市,营口,地级市,210800,Yingkou,营口市,Yingkou,40.6679,122.2344,yingkou,prefecture-yingkou,544710,CHN_LN_Yingkou.544710_TMYx.2011-2025.zip,Yingkou,40.6656,122.1733,direct
43,辽宁省,Liaoning,阜新市,阜新,地级市,210900,Fuxin,阜新市,Fuxin,42.0216,121.6696,fuxin,prefecture-fuxin,542370,CHN_LN_Fuxin.542370_TMYx.zip,Fuxin,42.0,121.633,direct
44,辽宁省,Liaoning,辽阳市,辽阳,地级市,211000,Liaoyang,辽阳市,Liaoyang,41.2673,123.237,liaoyang,prefecture-liaoyang,543420,CHN_LN_Shenyang.543420_TMYx.2011-2025.zip,沈阳,41.7325,123.5099,city_alias_fallback
