catalog_id,division_code,province_zh,city_zh,lat,lon,coordinate_source,geocoder_display_name
prefecture-huaian,320800,江苏省,淮安市,33.55,119.114,catalog,
prefecture-yancheng,320900,江苏省,盐城市,33.347,120.164,catalog,
prefecture-yangzhou,321000,江苏省,扬州市,32.393,119.415,catalog,
prefecture-zhenjiang,321100,江苏省,镇江市,32.188,119.428,catalog,
prefecture-taizhou-jiangsu,321200,江苏省,泰州市,32.455,119.923,catalog,
prefecture-suqian,321300,江苏省,宿迁市,33.9624,118.2757,catalog,
prefecture-hangzhou,330100,浙江省,杭州市,30.24916667,120.20527778,catalog,
prefecture-ningbo,330200,浙江省,宁波市,29.86361111,121.62083333,catalog,
prefecture-wenzhou,330300,浙江省,温州市,27.993,120.699,catalog,
prefecture-jiaxing,330400,浙江省,嘉兴市,30.754,120.759,catalog,
prefecture-huzhou,330500,浙江省,湖州市,30.894,120.087,catalog,
prefecture-shaoxing,330600,浙江省,绍兴市,29.995,120.586,catalog,
prefecture-jinhua,330700,浙江省,金华市,29.0788,119.6475,catalog,
prefecture-quzhou,330800,浙江省,衢州市,28.97,118.86,catalog,
prefecture-zhoushan,330900,浙江省,舟山市,29.9852,122.2077,catalog,
prefecture-taizhou-zhejiang,331000,浙江省,台州市,28.6556,121.4216,catalog,
prefecture-lishui,331100,浙江省,丽水市,28.467,119.923,catalog,
prefecture-hefei,340100,安徽省,合肥市,31.8665676,117.2814280,OpenStreetMap Nominatim,"合肥市, 安徽省, 中国"
prefecture-wuhu,340200,安徽省,芜湖市,31.353,118.433,catalog,
prefecture-bengbu,340300,安徽省,蚌埠市,32.9176422,117.3825673,OpenStreetMap Nominatim,"蚌埠市, 安徽省, 中国"
prefecture-huainan,340400,安徽省,淮南市,32.625,117.0,catalog,
prefecture-maanshan,340500,安徽省,马鞍山市,31.67,118.506,catalog,
prefecture-huaibei,340600,安徽省,淮北市,33.9565,116.7977,catalog,
prefecture-tongling,340700,安徽省,铜陵市,30.9455,117.8115,catalog,
prefecture-anqing,340800,安徽省,安庆市,30.532,117.115,catalog,
prefecture-huangshan-city,341000,安徽省,黄山市,29.7148,118.3375,catalog,
prefecture-chuzhou,341100,安徽省,滁州市,32.2535,118.3283,catalog,
prefecture-fuyang,341200,安徽省,阜阳市,32.889,115.814,catalog,
prefecture-suzhou-anhui,341300,安徽省,宿州市,33.6464,116.9639,catalog,
prefecture-luan,341500,安徽省,六安市,31.7344,116.5214,catalog,
prefecture-bozhou,341600,安徽省,亳州市,33.845,115.778,catalog,
prefecture-chizhou,341700,安徽省,池州市,30.676533,117.494118,catalog,
prefecture-xuancheng,341800,安徽省,宣城市,30.94,118.758,catalog,
prefecture-fuzhou-fujian,350100,福建省,福州市,26.15,119.28333333,catalog,
prefecture-xiamen,350200,福建省,厦门市,24.4801069,118.0853479,OpenStreetMap Nominatim,"厦门市, 福建省, 中国"
prefecture-putian,350300,福建省,莆田市,25.453,119.008,catalog,
prefecture-sanming,350400,福建省,三明市,26.263,117.639,catalog,
prefecture-quanzhou,350500,福建省,泉州市,24.8741,118.6757,catalog,
prefecture-zhangzhou,350600,福建省,漳州市,24.513,117.6464,catalog,
prefecture-nanping,350700,福建省,南平市,26.6415,118.1779,catalog,
prefecture-longyan,350800,福建省,龙岩市,25.0757,117.0174,catalog,
prefecture-ningde,350900,福建省,宁德市,26.6657,119.5481,catalog,
prefecture-nanchang,360100,江西省,南昌市,28.6472124,116.0348483,OpenStreetMap Nominatim,"南昌市, 江西省, 中国"
prefecture-jingdezhen,360200,江西省,景德镇市,29.269,117.178,catalog,
prefecture-pingxiang,360300,江西省,萍乡市,27.623,113.8545,catalog,
prefecture-jiujiang,360400,江西省,九江市,29.7054,116.0026,catalog,
prefecture-xinyu,360500,江西省,新余市,27.8176,114.917,catalog,
prefecture-yingtan,360600,江西省,鹰潭市,28.2597,117.0686,catalog,
prefecture-ganzhou,360700,江西省,赣州市,25.8306,114.9328,catalog,
prefecture-jian,360800,江西省,吉安市,27.0875,114.9645,catalog,
prefecture-yichun-jiangxi,360900,江西省,宜春市,27.8158,114.4166,catalog,
prefecture-fuzhou-jiangxi,361000,江西省,抚州市,27.9494,116.3582,catalog,
prefecture-shangrao,361100,江西省,上饶市,28.455,117.943,catalog,
prefecture-jinan,370100,山东省,济南市,36.63333333,117.01666667,catalog,
prefecture-qingdao,370200,山东省,青岛市,36.08333333,120.33333333,catalog,
prefecture-zibo,370300,山东省,淄博市,36.8133,118.0551,catalog,
prefecture-zaozhuang,370400,山东省,枣庄市,34.8103,117.3235,catalog,
prefecture-dongying,370500,山东省,东营市,37.4334,118.6744,catalog,
prefecture-yantai,370600,山东省,烟台市,37.4644,121.4478,catalog,
prefecture-weifang,370700,山东省,潍坊市,36.7065,119.1622,catalog,
prefecture-jining,370800,山东省,济宁市,35.415,116.587,catalog,
prefecture-taian,370900,山东省,泰安市,36.2,117.088,catalog,
prefecture-weihai,371000,山东省,威海市,37.5125,122.1152,catalog,
prefecture-rizhao,371100,山东省,日照市,35.4154,119.5267,catalog,
prefecture-linyi,371300,山东省,临沂市,35.104,118.3556,catalog,
prefecture-dezhou,371400,山东省,德州市,37.4338,116.3572,catalog,
prefecture-liaocheng,371500,山东省,聊城市,36.4571,115.9863,catalog,
prefecture-binzhou,371600,山东省,滨州市,37.381,117.971,catalog,
prefecture-heze,371700,山东省,菏泽市,35.2328,115.4822,catalog,
prefecture-zhengzhou,410100,河南省,郑州市,34.75,113.63333333,catalog,
prefecture-kaifeng,410200,河南省,开封市,34.7975,114.3079,catalog,
prefecture-luoyang,410300,河南省,洛阳市,34.6195,112.4543,catalog,
prefecture-pingdingshan,410400,河南省,平顶山市,33.7664,113.1916,catalog,
prefecture-anyang,410500,河南省,安阳市,36.0973,114.3922,catalog,
prefecture-hebi,410600,河南省,鹤壁市,35.7481,114.2964,catalog,
prefecture-xinxiang,410700,河南省,新乡市,35.303,113.926,catalog,
prefecture-jiaozuo,410800,河南省,焦作市,35.2158,113.2421,catalog,
prefecture-puyang,410900,河南省,濮阳市,35.762,115.028,catalog,
prefecture-xuchang,411000,河南省,许昌市,34.036,113.852,catalog,
prefecture-luohe,411100,河南省,漯河市,33.58,114.016,catalog,
prefecture-sanmenxia,411200,河南省,三门峡市,34.773,111.2,catalog,
prefecture-nanyang,411300,河南省,南阳市,32.9897,112.5282,catalog,
prefecture-shangqiu,411400,河南省,商丘市,34.4146,115.6558,catalog,
prefecture-xinyang,411500,河南省,信阳市,32.1472,114.0903,catalog,
prefecture-zhoukou,411600,河南省,周口市,33.6263,114.6968,catalog,
prefecture-zhumadian,411700,河南省,驻马店市,33.0108,114.0216,catalog,
prefecture-wuhan,420100,湖北省,武汉市,30.58333333,114.31666667,catalog,
prefecture-huangshi,420200,湖北省,黄石市,30.2,115.039,catalog,
prefecture-shiyan,420300,湖北省,十堰市,32.6295,110.7983,catalog,
prefecture-yichang,420500,湖北省,宜昌市,30.70444444,111.28861111,catalog,
prefecture-xiangyang,420600,湖北省,襄阳市,32.009,112.123,catalog,
prefecture-ezhou,420700,湖北省,鄂州市,30.3925379,114.8898988,OpenStreetMap Nominatim,"鄂州市, 湖北省, 中国"
prefecture-jingmen,420800,湖北省,荆门市,31.0354,112.1995,catalog,
prefecture-xiaogan,420900,湖北省,孝感市,30.9176,113.9571,catalog,
prefecture-jingzhou,421000,湖北省,荆州市,30.335,112.24,catalog,
