catalog_id,division_code,province_zh,city_zh,lat,lon,coordinate_source,geocoder_display_name
prefecture-changji-hui-autonomous-prefecture,652300,新疆维吾尔自治区,昌吉回族自治州,44.3478012,86.6870066,OpenStreetMap Nominatim,"昌吉回族自治州 سانجى خۇيزۇ ئاپتونوم ئوبلاستى, 新疆维吾尔自治区 شىنجاڭ ئۇيغۇر ئاپتونوم رايونی, 中国"
prefecture-bortala-mongol-autonomous-prefecture,652700,新疆维吾尔自治区,博尔塔拉蒙古自治州,44.9048060,82.0629703,OpenStreetMap Nominatim,"博尔塔拉蒙古自治州 ᠪᠣᠷᠣᠲᠠᠯ᠎ᠠ ᠶᠢᠨ ᠮᠣᠩᠭᠣᠯ ᠥᠪᠡᠷᠲᠡᠭᠡᠨ ᠵᠠᠰᠠᠬᠤ ᠵᠧᠦ, 新疆维吾尔自治区 شىنجاڭ ئۇيغۇر ئاپتونوم رايونی, 833404, 中国"
prefecture-bayingolin-mongol-autonomous-prefecture,652800,新疆维吾尔自治区,巴音郭楞蒙古自治州,39.4955860,87.9790569,OpenStreetMap Nominatim,"巴音郭楞蒙古自治州 بايىنغولىن موڭغۇل ئاپتونوم ئوبلاستى, 新疆维吾尔自治区 شىنجاڭ ئۇيغۇر ئاپتونوم رايونی, 中国"
prefecture-aksu-prefecture,652900,新疆维吾尔自治区,阿克苏地区,41.16666667,80.25,catalog,
prefecture-kizilsu-kyrgyz-autonomous-prefecture,653000,新疆维吾尔自治区,克孜勒苏柯尔克孜自治州,39.7146,76.1678,catalog,
prefecture-kashgar-prefecture,653100,新疆维吾尔自治区,喀什地区,37.8714865,77.1915562,OpenStreetMap Nominatim,"喀什地区 قەشقەر ۋىلايىتى, 新疆维吾尔自治区 شىنجاڭ ئۇيغۇر ئاپتونوم رايونی, 中国"
prefecture-hotan-prefecture,653200,新疆维吾尔自治区,和田地区,37.1110359,79.9208930,OpenStreetMap Nominatim,"和田市 خوتەن شەھىرى, 和田地区 خوتەن ۋىلايىتى, 新疆维吾尔自治区 شىنجاڭ ئۇيغۇر ئاپتونوم رايونی, 中国"
prefecture-ili-kazakh-autonomous-prefecture,654000,新疆维吾尔自治区,伊犁哈萨克自治州,43.9138140,81.3271885,OpenStreetMap Nominatim,"伊犁哈萨克自治州, 新疆维吾尔自治区 شىنجاڭ ئۇيغۇر ئاپتونوم رايونی, 中国"
prefecture-tacheng-prefecture,654200,新疆维吾尔自治区,塔城地区,45.7491990,84.2850459,OpenStreetMap Nominatim,"塔城地区 تارباعاتاي ايماعى, 新疆维吾尔自治区 شىنجاڭ ئۇيغۇر ئاپتونوم رايونی, 中国"
prefecture-altay-prefecture,654300,新疆维吾尔自治区,阿勒泰地区,47.1001782,88.4341751,OpenStreetMap Nominatim,"阿勒泰地区, 新疆维吾尔自治区 شىنجاڭ ئۇيغۇر ئاپتونوم رايونی, 中国"
prefecture-beijing,110000,北京市,北京市,39.9042,116.4074,catalog,
prefecture-tianjin,120000,天津市,天津市,39.0842,117.2009,catalog,
prefecture-shanghai,310000,上海市,上海市,31.2304,121.4737,catalog,
prefecture-chongqing,500000,重庆市,重庆市,29.4316,106.9123,catalog,
prefecture-hong-kong,810000,香港特别行政区,香港,22.3193,114.1694,catalog,
prefecture-macau,820000,澳门特别行政区,澳门,22.1987,113.5439,catalog,
