index,province_zh,province_en,city_zh,city_short_zh,admin_type_zh,division_code,city_en,wiki_title_zh,wiki_title_en,lat,lon,slug,catalog_id,source_station_wmo,source_station_file,source_station_name,source_station_lat,source_station_lon,station_match_quality
24,内蒙古自治区,Inner Mongolia,包头市,包头,地级市,150200,Baotou,包头市,Baotou,40.658,109.8402,baotou,prefecture-baotou,534460,CHN_NM_Baotou.534460_TMYx.zip,Baotou,40.567,109.983,direct
25,内蒙古自治区,Inner Mongolia,乌海市,乌海,地级市,150300,乌海,乌海市,,39.655,106.7942,city-inner-mongolia,prefecture-city-inner-mongolia,534630,CHN_NM_Hohhot.534630_CSWD.zip,Hohhot,40.81667,111.6833,city_alias_fallback
26,内蒙古自治区,Inner Mongolia,赤峰市,赤峰,地级市,150400,赤峰,赤峰市,,42.2579,118.887,city-inner-mongolia-2,prefecture-city-inner-mongolia-2,534630,CHN_NM_Hohhot.534630_CSWD.zip,Hohhot,40.81667,111.6833,city_alias_fallback
27,内蒙古自治区,Inner Mongolia,通辽市,通辽,地级市,150500,通辽,通辽市,,43.6527,122.2436,city-inner-mongolia-3,prefecture-city-inner-mongolia-3,534630,CHN_NM_Hohhot.534630_CSWD.zip,Hohhot,40.81667,111.6833,city_alias_fallback
28,内蒙古自治区,Inner Mongolia,鄂尔多斯市,鄂尔多斯,地级市,150600,鄂尔多斯,鄂尔多斯市,,39.6082,109.7814,city-inner-mongolia-4,prefecture-city-inner-mongolia-4,534630,CHN_NM_Hohhot.534630_CSWD.zip,Hohhot,40.81667,111.6833,city_alias_fallback
29,内蒙古自治区,Inner Mongolia,呼伦贝尔市,呼伦贝尔,地级市,150700,呼伦贝尔,呼伦贝尔市,,49.2118,119.7657,city-inner-mongolia-5,prefecture-city-inner-mongolia-5,534630,CHN_NM_Hohhot.534630_CSWD.zip,Hohhot,40.81667,111.6833,city_alias_fallback
30,内蒙古自治区,Inner Mongolia,巴彦淖尔市,巴彦淖尔,地级市,150800,巴彦淖尔,巴彦淖尔市,,40.7433,107.3876,city-inner-mongolia-6,prefecture-city-inner-mongolia-6,534630,CHN_NM_Hohhot.534630_CSWD.zip,Hohhot,40.81667,111.6833,city_alias_fallback
31,内蒙古自治区,Inner Mongolia,乌兰察布市,乌兰察布,地级市,150900,乌兰察布,乌兰察布市,,40.995,113.132,city-inner-mongolia-7,prefecture-city-inner-mongolia-7,534630,CHN_NM_Hohhot.534630_CSWD.zip,Hohhot,40.81667,111.6833,city_alias_fallback
32,内蒙古自治区,Inner Mongolia,兴安盟,兴安,盟,152200,兴安,兴安盟,,46.0824,122.0375,city-inner-mongolia-8,prefecture-city-inner-mongolia-8,534630,CHN_NM_Hohhot.534630_CSWD.zip,Hohhot,40.81667,111.6833,province_capital_fallback
33,内蒙古自治区,Inner Mongolia,锡林郭勒盟,锡林郭勒,盟,152500,锡林郭勒,锡林郭勒盟,,43.9335,116.0477,city-inner-mongolia-9,prefecture-city-inner-mongolia-9,534630,CHN_NM_Hohhot.534630_CSWD.zip,Hohhot,40.81667,111.6833,province_capital_fallback
